region,wirtschaftszweig,medianlohn_chf
Espace Mittelland,Herst. v. elektrischen Ausrüstungen,5963.0
Nordwestschweiz,Herst. v. elektrischen Ausrüstungen,8137.0
Zürich,Herst. v. elektrischen Ausrüstungen,6504.0
Ostschweiz,Herst. v. elektrischen Ausrüstungen,6711.0
Zentralschweiz,Herst. v. elektrischen Ausrüstungen,6568.0
Tessin,Herst. v. elektrischen Ausrüstungen,3632.0
Schweiz,Maschinenbau,6882.0
Genferseeregion,Maschinenbau,7343.0
Espace Mittelland,Maschinenbau,6715.0
Nordwestschweiz,Maschinenbau,6793.0
Zürich,Maschinenbau,7582.0
Ostschweiz,Maschinenbau,6796.0
Zentralschweiz,Maschinenbau,6760.0
Tessin,Maschinenbau,5799.0
Schweiz,Fahrzeugbau,6779.0
Genferseeregion,Fahrzeugbau,6976.0
Espace Mittelland,Fahrzeugbau,7354.0
Nordwestschweiz,Fahrzeugbau,6122.0
Zürich,Fahrzeugbau,6911.0
Ostschweiz,Fahrzeugbau,6526.0
Zentralschweiz,Fahrzeugbau,7043.0
Tessin,Fahrzeugbau,5130.0
Schweiz,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,6117.0
Genferseeregion,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,6025.0
Espace Mittelland,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,6193.0
Nordwestschweiz,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,6508.0
Zürich,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,6731.0
Ostschweiz,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,5776.0
Zentralschweiz,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,5759.0
Tessin,Herst. v. Möbeln u. v. sonst. Waren; Rep. u. Install. Maschinen,4495.0
Schweiz,Energieversorgung,8210.0
Genferseeregion,Energieversorgung,8711.0
Espace Mittelland,Energieversorgung,8201.0
Nordwestschweiz,Energieversorgung,8860.0
Zürich,Energieversorgung,8102.0
Ostschweiz,Energieversorgung,7378.0
Zentralschweiz,Energieversorgung,7775.0
Tessin,Energieversorgung,6772.0
Schweiz,Wasserversorgung; Abwasser- u. Abfallentsorgung,6192.0
Genferseeregion,Wasserversorgung; Abwasser- u. Abfallentsorgung,5907.0
Espace Mittelland,Wasserversorgung; Abwasser- u. Abfallentsorgung,6240.0
Nordwestschweiz,Wasserversorgung; Abwasser- u. Abfallentsorgung,6466.0
Zürich,Wasserversorgung; Abwasser- u. Abfallentsorgung,6496.0
Ostschweiz,Wasserversorgung; Abwasser- u. Abfallentsorgung,6259.0
Zentralschweiz,Wasserversorgung; Abwasser- u. Abfallentsorgung,5910.0
Tessin,Wasserversorgung; Abwasser- u. Abfallentsorgung,5686.0
Schweiz,Baugewerbe,6116.0
Genferseeregion,Baugewerbe,6205.0
Espace Mittelland,Baugewerbe,6017.0
Nordwestschweiz,Baugewerbe,6011.0
Zürich,Baugewerbe,6544.0
Ostschweiz,Baugewerbe,5950.0
Zentralschweiz,Baugewerbe,6174.0
Tessin,Baugewerbe,5827.0
Schweiz,Handel; Instandhaltung u. Rep. von Motorfahrz.,5556.0
Genferseeregion,Handel; Instandhaltung u. Rep. von Motorfahrz.,5500.0
Espace Mittelland,Handel; Instandhaltung u. Rep. von Motorfahrz.,5401.0
Nordwestschweiz,Handel; Instandhaltung u. Rep. von Motorfahrz.,5811.0
Zürich,Handel; Instandhaltung u. Rep. von Motorfahrz.,5570.0
Ostschweiz,Handel; Instandhaltung u. Rep. von Motorfahrz.,5388.0
Zentralschweiz,Handel; Instandhaltung u. Rep. von Motorfahrz.,6024.0
Tessin,Handel; Instandhaltung u. Rep. von Motorfahrz.,5012.0
Schweiz,Grosshandel; Handel u. Rep. v. Motorfahrz.,6529.0
Genferseeregion,Grosshandel; Handel u. Rep. v. Motorfahrz.,6506.0
Espace Mittelland,Grosshandel; Handel u. Rep. v. Motorfahrz.,6086.0
Nordwestschweiz,Grosshandel; Handel u. Rep. v. Motorfahrz.,6742.0
Zürich,Grosshandel; Handel u. Rep. v. Motorfahrz.,6884.0
Ostschweiz,Grosshandel; Handel u. Rep. v. Motorfahrz.,6111.0
Zentralschweiz,Grosshandel; Handel u. Rep. v. Motorfahrz.,6873.0
Tessin,Grosshandel; Handel u. Rep. v. Motorfahrz.,5582.0
Schweiz,Detailhandel,4798.0
Genferseeregion,Detailhandel,4706.0
Espace Mittelland,Detailhandel,4743.0
Nordwestschweiz,Detailhandel,4808.0
Zürich,Detailhandel,4860.0
Ostschweiz,Detailhandel,4890.0
Zentralschweiz,Detailhandel,4749.0
Tessin,Detailhandel,4366.0
Schweiz,Verkehr u. Lagerei,6171.0
Genferseeregion,Verkehr u. Lagerei,5963.0
Espace Mittelland,Verkehr u. Lagerei,6506.0
Nordwestschweiz,Verkehr u. Lagerei,5848.0
Zürich,Verkehr u. Lagerei,6525.0
Ostschweiz,Verkehr u. Lagerei,5584.0
Zentralschweiz,Verkehr u. Lagerei,5903.0
Tessin,Verkehr u. Lagerei,5035.0
Schweiz,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,6332.0
Genferseeregion,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,6017.0
Espace Mittelland,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,7103.0
Nordwestschweiz,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,5863.0
Zürich,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,6611.0
Ostschweiz,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,5642.0
Zentralschweiz,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,5921.0
Tessin,Landverkehr; Schifffahrt; Luftfahrt; Lagerei,5040.0
Schweiz,"Post-, Kurier- u. Expressdienste",5896.0
Genferseeregion,"Post-, Kurier- u. Expressdienste",4286.0
Espace Mittelland,"Post-, Kurier- u. Expressdienste",5970.0
Nordwestschweiz,"Post-, Kurier- u. Expressdienste",5765.0
Zürich,"Post-, Kurier- u. Expressdienste",4495.0
Ostschweiz,"Post-, Kurier- u. Expressdienste",3833.0
Zentralschweiz,"Post-, Kurier- u. Expressdienste",4394.0
Schweiz,Gastgewerbe/Beherbergung u. Gastronomie,4337.0
Genferseeregion,Gastgewerbe/Beherbergung u. Gastronomie,4237.0
Espace Mittelland,Gastgewerbe/Beherbergung u. Gastronomie,4331.0
Nordwestschweiz,Gastgewerbe/Beherbergung u. Gastronomie,4513.0
Zürich,Gastgewerbe/Beherbergung u. Gastronomie,4495.0
Ostschweiz,Gastgewerbe/Beherbergung u. Gastronomie,4321.0
Zentralschweiz,Gastgewerbe/Beherbergung u. Gastronomie,4391.0
Tessin,Gastgewerbe/Beherbergung u. Gastronomie,4110.0
Schweiz,Information und Kommunikation,8644.0
Genferseeregion,Information und Kommunikation,8451.0
Espace Mittelland,Information und Kommunikation,8750.0
Nordwestschweiz,Information und Kommunikation,8341.0
Zürich,Information und Kommunikation,9167.0
Ostschweiz,Information und Kommunikation,7549.0
Zentralschweiz,Information und Kommunikation,8284.0
Tessin,Information und Kommunikation,5503.0
Schweiz,Verlagswesen; audiovisuelle Medien; Rundfunk,7622.0
Genferseeregion,Verlagswesen; audiovisuelle Medien; Rundfunk,6524.0
Espace Mittelland,Verlagswesen; audiovisuelle Medien; Rundfunk,6523.0
Nordwestschweiz,Verlagswesen; audiovisuelle Medien; Rundfunk,7014.0
Zürich,Verlagswesen; audiovisuelle Medien; Rundfunk,8374.0
Ostschweiz,Verlagswesen; audiovisuelle Medien; Rundfunk,6167.0
Zentralschweiz,Verlagswesen; audiovisuelle Medien; Rundfunk,7096.0
Tessin,Verlagswesen; audiovisuelle Medien; Rundfunk,5765.0
Schweiz,Telekommunikation,8869.0
Genferseeregion,Telekommunikation,7367.0
Espace Mittelland,Telekommunikation,9304.0
Nordwestschweiz,Telekommunikation,6395.0
Zürich,Telekommunikation,7949.0
Ostschweiz,Telekommunikation,6677.0
Zentralschweiz,Telekommunikation,6830.0
Schweiz,Informationstechnologie u. Informationsdienstl.,8900.0
Genferseeregion,Informationstechnologie u. Informationsdienstl.,8901.0
Espace Mittelland,Informationstechnologie u. Informationsdienstl.,8419.0
Nordwestschweiz,Informationstechnologie u. Informationsdienstl.,8729.0
Zürich,Informationstechnologie u. Informationsdienstl.,9725.0
Ostschweiz,Informationstechnologie u. Informationsdienstl.,7943.0
Zentralschweiz,Informationstechnologie u. Informationsdienstl.,8564.0
Tessin,Informationstechnologie u. Informationsdienstl.,5415.0
Schweiz,Finanz- u. Versicherungsdienstleistungen,9196.0
Genferseeregion,Finanz- u. Versicherungsdienstleistungen,9812.0
Espace Mittelland,Finanz- u. Versicherungsdienstleistungen,7771.0
Nordwestschweiz,Finanz- u. Versicherungsdienstleistungen,8579.0
Zürich,Finanz- u. Versicherungsdienstleistungen,9983.0
Ostschweiz,Finanz- u. Versicherungsdienstleistungen,7936.0
Zentralschweiz,Finanz- u. Versicherungsdienstleistungen,7993.0
Tessin,Finanz- u. Versicherungsdienstleistungen,8050.0
Schweiz,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,9362.0
Genferseeregion,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,10221.0
Espace Mittelland,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,7519.0
Nordwestschweiz,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,8506.0
Zürich,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,10235.0
Ostschweiz,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,7939.0
Zentralschweiz,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,8490.0
Tessin,Finanzdienstl.; mit Finanz- u. Versicherungsdienstl. verb. Tätigk.,8052.0
Schweiz,Versicherungen,8762.0
Genferseeregion,Versicherungen,6602.0
Espace Mittelland,Versicherungen,9077.0
Nordwestschweiz,Versicherungen,8770.0
Zürich,Versicherungen,9438.0
Ostschweiz,Versicherungen,7633.0
Zentralschweiz,Versicherungen,7543.0
Schweiz,Grundstücks- und Wohnungswesen,6735.0
Genferseeregion,Grundstücks- und Wohnungswesen,6626.0
Espace Mittelland,Grundstücks- und Wohnungswesen,6334.0
Nordwestschweiz,Grundstücks- und Wohnungswesen,6940.0
Zürich,Grundstücks- und Wohnungswesen,6980.0
