job_id,job_title,company,location,stadt_normalisiert,bfs_region,category,lohnkategorie,wirtschaftszweig_bfs,seniority,contract_type,salary_range,gehalt_monat_chf,gehalt_jahr_chf,bfs_medianlohn_chf,lohn_diskrepanz_chf,lohn_diskrepanz_pct,skills_liste,skills_anzahl,date_posted,job_url
c7c0831f-837b-45f8-9cbf-12f257b615c9,"Hörberater*in (m/w/d), Laufen und Dornach, (CH)",Neuroth Hörcenter AG,Laufen,Laufen,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 64500 - 104500 (jobs.ch estimate),7042.0,91546.0,6875.0,167.0,2.4,,0,2026-04-11T03:00:00+02:00,https://www.jobs.ch/de/stellenangebote/detail/c7c0831f-837b-45f8-9cbf-12f257b615c9/
186c4455-aa9d-4039-9672-39394d7076e5,Mitarbeiter Logistik,Sentec AG,Therwil,Therwil,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 43240 - 83240 (jobs.ch estimate),5270.0,68510.0,6875.0,-1605.0,-23.3,,0,2026-04-13T09:33:49+02:00,https://www.jobs.ch/de/stellenangebote/detail/186c4455-aa9d-4039-9672-39394d7076e5/
2f7dd593-12a1-4865-9c8f-0f5d13edb44b,IT - Workplace Technician,Sonic Suisse,Zürich,Zuerich,Zürich,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,Remote,CHF 79000 - 119000 (jobs.ch estimate),8250.0,107250.0,7373.0,877.0,11.9,Deutsch | Englisch | Französisch,3,2026-04-13T13:33:41+02:00,https://www.jobs.ch/de/stellenangebote/detail/2f7dd593-12a1-4865-9c8f-0f5d13edb44b/
df98c44e-19ef-4800-bc62-293c27448639,Reserve Logistics Analyst // Johnson & Johnson,Randstad Inhouse Services,Zuchwil,Zuchwil,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 75000 - 115000 (jobs.ch estimate),7917.0,102921.0,6875.0,1042.0,15.2,Power BI | SAP,2,2026-04-13T17:32:44+02:00,https://www.jobs.ch/de/stellenangebote/detail/df98c44e-19ef-4800-bc62-293c27448639/
3c59257d-c445-4f4b-9736-4f1f69580831,Entwicklungsingenieur für Hochspannung (MedTech / Pulse Power) – 100% (m/w/d),STORZ MEDICAL AG,Tägerwilen,Tägerwilen,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 74400 - 106000 (jobs.ch estimate),7517.0,97721.0,6875.0,642.0,9.3,Deutsch,1,2026-04-14T07:33:40+02:00,https://www.jobs.ch/de/stellenangebote/detail/3c59257d-c445-4f4b-9736-4f1f69580831/
35d898c0-1697-4306-8139-7a802b65ad18,"Hörgeräteakustiker*in (m/w/d), Region Graubünden, (CH)",Neuroth Hörcenter AG,Chur,Chur,Ostschweiz,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 64500 - 104500 (jobs.ch estimate),7042.0,91546.0,6551.0,491.0,7.5,,0,2026-03-30T20:02:59+02:00,https://www.jobs.ch/de/stellenangebote/detail/35d898c0-1697-4306-8139-7a802b65ad18/
8c04cfb0-5b34-4af1-b076-2e88b0c710d3,Senior Business Analyst Digital Commerce 80-100%,CURADEN AG,Kriens,Luzern,Zentralschweiz,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Senior,On-site,CHF 76000 - 116000 (jobs.ch estimate),8000.0,104000.0,8572.0,-572.0,-6.7,Python | SQL | R | Go | Excel | Power BI | Looker,7,2026-04-02T07:33:56+02:00,https://www.jobs.ch/de/stellenangebote/detail/8c04cfb0-5b34-4af1-b076-2e88b0c710d3/
6ac8494c-ccbd-4699-b457-edb343385645,Gestionnaire contentieux (FRA/ALL) 80-100%,HOTELA Caisse de Compensation AVS,Montreux,Montreux,Genferseeregion,Versicherungen,Hochlohn,Versicherungen,Mid,On-site,CHF 84160 - 124160 (jobs.ch estimate),8680.0,112840.0,6602.0,2078.0,31.5,,0,2026-04-18T02:00:04+02:00,https://www.jobs.ch/de/stellenangebote/detail/6ac8494c-ccbd-4699-b457-edb343385645/
f8bb3677-a027-4d66-bb7d-50e4fb169f05,Manager Global BCM & HSE m/w/d,Ivoclar Vivadent AG,Schaan,Schaan,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Lead/Manager,On-site,CHF 112000 - 152000 (jobs.ch estimate),11000.0,143000.0,6875.0,4125.0,60.0,Projektmanagement | Deutsch | ISO,3,2026-04-07T03:00:00+02:00,https://www.jobs.ch/de/stellenangebote/detail/f8bb3677-a027-4d66-bb7d-50e4fb169f05/
20c3baf4-fab4-48ea-9b56-ed202a5777e9,Senior Cloud DevOps Engineer,mylife Diabetes Care AG,Burgdorf,Bern,Espace Mittelland,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Senior,Hybrid,CHF 99650 - 139650 (jobs.ch estimate),9971.0,129623.0,6282.0,3689.0,58.7,SQL | Azure | Agile | Compliance | ISO,5,2026-04-07T03:00:00+02:00,https://www.jobs.ch/de/stellenangebote/detail/20c3baf4-fab4-48ea-9b56-ed202a5777e9/
92f01a98-5dad-4625-baed-a5fcb98ad737,Produktionsplaner:in 80-100%,swisselect ag,Bern,Bern,Espace Mittelland,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 64500 - 104500 (jobs.ch estimate),7042.0,91546.0,6282.0,760.0,12.1,Excel | Oracle | Deutsch,3,2026-04-08T07:03:57+02:00,https://www.jobs.ch/de/stellenangebote/detail/92f01a98-5dad-4625-baed-a5fcb98ad737/
373828f1-91da-4d8b-b942-dea4f7fda19b,Qualitätstechniker:in Unterstützung Qualitätsmanagement 100%,mollet Präzisionsmechanik AG,Lengnau,Lengnau,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 62537 - 102537 (jobs.ch estimate),6878.0,89414.0,6875.0,3.0,0.0,ISO,1,2026-04-08T08:03:49+02:00,https://www.jobs.ch/de/stellenangebote/detail/373828f1-91da-4d8b-b942-dea4f7fda19b/
c0511287-8090-4c5e-94c1-bbdc914c5b7c,Teamleader Engineering,Elos Medtech,Muntelier,Muntelier,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Lead/Manager,On-site,CHF 66000 - 106000 (jobs.ch estimate),7167.0,93171.0,6875.0,292.0,4.2,Deutsch | Englisch | Französisch | ISO | Lean,5,2026-04-08T10:33:38+02:00,https://www.jobs.ch/de/stellenangebote/detail/c0511287-8090-4c5e-94c1-bbdc914c5b7c/
137f448b-ccbb-41ad-b2cc-50d144b6414f,Advanced QC Microbiology & Environmental Monitoring Technician 60-80%,B. Braun Medical AG,Sempach,Sempach,Andere,Medizinaltechnik,Hochlohn,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",Mid,On-site,CHF 78000 - 118000 (jobs.ch estimate),8167.0,106171.0,6875.0,1292.0,18.8,GMP,1,2026-04-08T14:26:55+02:00,https://www.jobs.ch/de/stellenangebote/detail/137f448b-ccbb-41ad-b2cc-50d144b6414f/
b851c4e2-3719-40da-9100-09ba2749737a,Gestionnaire en assurances entreprises toutes branches,CPF SA - Conseil Placement Formation,1003 Lausanne,Lausanne,Genferseeregion,Versicherungen,Hochlohn,Versicherungen,Mid,On-site,CHF 7000,7000.0,91000.0,6602.0,398.0,6.0,,0,2026-04-18T02:00:04+02:00,https://www.jobs.ch/de/stellenangebote/detail/b851c4e2-3719-40da-9100-09ba2749737a/
3c5a449b-4bbb-47fd-9727-41a37e451f16,KV Lehrstelle EFZ 2027 - Generalagentur Sursee,Schweizerische Mobiliar Versicherungsgesellschaft AG,"Sursee, CH",Sursee,Andere,Versicherungen,Hochlohn,Versicherungen,Mid,On-site,CHF 45000 - 85000 (jobs.ch estimate),5417.0,70421.0,8762.0,-3345.0,-38.2,,0,2026-04-18T08:01:52+02:00,https://www.jobs.ch/de/stellenangebote/detail/3c5a449b-4bbb-47fd-9727-41a37e451f16/
98a17b54-3824-4a30-97e5-5d50a5faf8ad,"Teamleiter:in Leistungserbringermanagement, 80–100 %",CONCORDIA Schweizerische Kranken- und Unfallversicherung,Luzern,Luzern,Zentralschweiz,Versicherungen,Hochlohn,Versicherungen,Lead/Manager,Hybrid,CHF 51500 - 91500 (jobs.ch estimate),5958.0,77454.0,7543.0,-1585.0,-21.0,,0,2026-04-18T11:01:53+02:00,https://www.jobs.ch/de/stellenangebote/detail/98a17b54-3824-4a30-97e5-5d50a5faf8ad/
c35ae86f-1915-44d4-ad26-ada59d29d6c6,Gérant(e) Administratif Immobilier,GEROFINANCE - RÉGIE DU RHÔNE SA,Châtelaine,Châtelaine,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 58205 - 98205 (jobs.ch estimate),6517.0,84721.0,6116.0,401.0,6.6,,0,2026-04-21T15:33:55+02:00,https://www.jobs.ch/de/stellenangebote/detail/c35ae86f-1915-44d4-ad26-ada59d29d6c6/
dabb6b40-45fd-4f6d-9331-304de794db3e,SAP BTP Development Consultant (m/w/d),NOVO Business Consultants AG,Bern/Zürich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Mid,Hybrid,CHF 96350 - 136350 (jobs.ch estimate),9696.0,126048.0,8098.0,1598.0,19.7,SAP,1,2026-04-15T10:02:39+02:00,https://www.jobs.ch/de/stellenangebote/detail/dabb6b40-45fd-4f6d-9331-304de794db3e/
